2014-11-25 03:34:30 status unpacked perl-base:amd64 5.18.2-2ubuntu1
2014-11-25 03:34:30 status unpacked perl-base:amd64 5.18.2-2ubuntu1
2014-11-25 03:34:30 configure perl-base:amd64 5.18.2-2ubuntu1 5.18.2-2ubuntu1
2014-11-25 03:34:30 status unpacked perl-base:amd64 5.18.2-2ubuntu1
2014-11-25 03:34:30 status half-configured perl-base:amd64 5.18.2-2ubuntu1
2014-11-25 03:34:30 status installed perl-base:amd64 5.18.2-2ubuntu1
2014-11-25 03:34:30 startup archives install
2014-11-25 03:34:30 install mawk:amd64 <none> 1.3.3-17ubuntu2
2014-11-25 03:34:30 status half-installed mawk:amd64 1.3.3-17ubuntu2
2014-11-25 03:34:30 status unpacked mawk:amd64 1.3.3-17ubuntu2
2014-11-25 03:34:30 status unpacked mawk:amd64 1.3.3-17ubuntu2
2014-11-25 03:34:30 configure mawk:amd64 1.3.3-17ubuntu2 1.3.3-17ubuntu2
2014-11-25 03:34:30 status unpacked mawk:amd64 1.3.3-17ubuntu2
2014-11-25 03:34:31 status half-configured mawk:amd64 1.3.3-17ubuntu2
2014-11-25 03:34:31 status installed mawk:amd64 1.3.3-17ubuntu2
2014-11-25 03:34:31 startup archives unpack
2014-11-25 03:34:31 install adduser:all <none> 3.113+nmu3ubuntu3
2014-11-25 03:34:31 status half-installed adduser:all 3.113+nmu3ubuntu3
2014-11-25 03:34:31 status unpacked adduser:all 3.113+nmu3ubuntu3
2014-11-25 03:34:31 status unpacked adduser:all 3.113+nmu3ubuntu3
2014-11-25 03:34:31 upgrade base-files:amd64 7.2ubuntu5 7.2ubuntu5
2014-11-25 03:34:31 status half-configured base-files:amd64 7.2ubuntu5
2014-11-25 03:34:31 status unpacked base-files:amd64 7.2ubuntu5
2014-11-25 03:34:31 status half-installed base-files:amd64 7.2ubuntu5
2014-11-25 03:34:32 status half-installed base-files:amd64 7.2ubuntu5
2014-11-25 03:34:32 status unpacked base-files:amd64 7.2ubuntu5
2014-11-25 03:34:32 status unpacked base-files:amd64 7.2ubuntu5
2014-11-25 03:34:32 upgrade base-passwd:amd64 3.5.33 3.5.33
2014-11-25 03:34:32 status half-configured base-passwd:amd64 3.5.33
2014-11-25 03:34:32 status unpacked base-passwd:amd64 3.5.33
2014-11-25 03:34:32 status half-installed base-passwd:amd64 3.5.33
2014-11-25 03:34:32 status half-installed base-passwd:amd64 3.5.33
2014-11-25 03:34:32 status unpacked base-passwd:amd64 3.5.33
2014-11-25 03:34:32 status unpacked base-passwd:amd64 3.5.33
2014-11-25 03:34:32 install bash:amd64 <none> 4.3-6ubuntu1
2014-11-25 03:34:32 status half-installed bash:amd64 4.3-6ubuntu1
2014-11-25 03:34:33 status unpacked bash:amd64 4.3-6ubuntu1
2014-11-25 03:34:33 status unpacked bash:amd64 4.3-6ubuntu1
2014-11-25 03:34:33 install bsdutils:amd64 <none> 1:2.20.1-5.1ubuntu20
2014-11-25 03:34:33 status half-installed bsdutils:amd64 1:2.20.1-5.1ubuntu20
2014-11-25 03:34:33 status unpacked bsdutils:amd64 1:2.20.1-5.1ubuntu20
2014-11-25 03:34:33 status unpacked bsdutils:amd64 1:2.20.1-5.1ubuntu20
2014-11-25 03:34:33 install busybox-initramfs:amd64 <none> 1:1.21.0-1ubuntu1
2014-11-25 03:34:33 status half-installed busybox-initramfs:amd64 1:1.21.0-1ubuntu1
2014-11-25 03:34:33 status unpacked busybox-initramfs:amd64 1:1.21.0-1ubuntu1
2014-11-25 03:34:33 status unpacked busybox-initramfs:amd64 1:1.21.0-1ubuntu1
2014-11-25 03:34:33 install coreutils:amd64 <none> 8.21-1ubuntu5
2014-11-25 03:34:33 status half-installed coreutils:amd64 8.21-1ubuntu5
2014-11-25 03:34:34 status unpacked coreutils:amd64 8.21-1ubuntu5
2014-11-25 03:34:34 status unpacked coreutils:amd64 8.21-1ubuntu5
2014-11-25 03:34:34 install cpio:amd64 <none> 2.11+dfsg-1ubuntu1
2014-11-25 03:34:34 status half-installed cpio:amd64 2.11+dfsg-1ubuntu1
2014-11-25 03:34:34 status unpacked cpio:amd64 2.11+dfsg-1ubuntu1
2014-11-25 03:34:34 status unpacked cpio:amd64 2.11+dfsg-1ubuntu1
2014-11-25 03:34:34 install dash:amd64 <none> 0.5.7-4ubuntu1
2014-11-25 03:34:34 status half-installed dash:amd64 0.5.7-4ubuntu1
2014-11-25 03:34:34 status unpacked dash:amd64 0.5.7-4ubuntu1
2014-11-25 03:34:35 status unpacked dash:amd64 0.5.7-4ubuntu1
2014-11-25 03:34:35 install debconf:all <none> 1.5.51ubuntu2
2014-11-25 03:34:35 status half-installed debconf:all 1.5.51ubuntu2
2014-11-25 03:34:35 status unpacked debconf:all 1.5.51ubuntu2
2014-11-25 03:34:35 status unpacked debconf:all 1.5.51ubuntu2
2014-11-25 03:34:35 install debianutils:amd64 <none> 4.4
2014-11-25 03:34:35 status half-installed debianutils:amd64 4.4
2014-11-25 03:34:35 status unpacked debianutils:amd64 4.4
2014-11-25 03:34:35 status unpacked debianutils:amd64 4.4
2014-11-25 03:34:35 install diffutils:amd64 <none> 1:3.3-1
2014-11-25 03:34:35 status half-installed diffutils:amd64 1:3.3-1
2014-11-25 03:34:36 status unpacked diffutils:amd64 1:3.3-1
